Market,"Arrivals March, 2026 (Metric Tonnes)","Arrivals February, 2026 (Metric Tonnes)","Arrivals March, 2025 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
APMC CHOPADA,-,0.1,-,-,-
APMC Latur,73.5,209.9,129.7,-65.0%,-43.3%
APMC PACHORA,-,-,1.0,-,-
Agriculture Produce Market Committee Umarga,-,-,1.0,-,-
Ahilyanagar APMC,33.0,38.8,56.5,-14.9%,-41.6%
Ahmedpur APMC,2.5,0.9,-,177.8%,-
Akola APMC,8.6,51.1,0.2,-83.2%,4200.0%
Amarawati APMC,5.2,12.5,6.9,-58.4%,-24.6%
Ambejogai APMC,-,0.4,-,-,-
Aurad Shahajani APMC,1.6,5.3,3.7,-69.8%,-56.8%
Ausa APMC,0.8,1.6,-,-50.0%,-
Baramati APMC,9.1,10.5,4.8,-13.3%,89.6%
Barshi APMC,7.5,11.3,10.0,-33.6%,-25.0%
Barshi(Vairag) APMC,-,1.0,0.9,-,-
Beed APMC,0.5,4.8,0.7,-89.6%,-28.6%
Bhandara APMC,0.1,-,0.1,-,-
"Bsk Krishi Bazar Private Limited, Mehkar, Dist Buldhana",0.2,0.5,-,-60.0%,-
Buldhana APMC,0.6,-,-,-,-
Chikali APMC,5.1,5.6,3.1,-8.9%,64.5%
"Cottoncity Agro Foods Pvt Ltd, Dist Yavatmal",-, -,0.09,-,-
Deoulgaon Raja APMC,0.8,0.1,-,700.0%,-
Devala APMC,-,0.1,-,-,-
Dharmabad APMC,7.3,-,-,-,-
Dhule APMC,-,0.3,0.3,-,-
Dound APMC,0.6,-,-,-,-
Dudhani APMC,5.3,5.2,5.2,1.9%,1.9%
Gangapur APMC,0.1,-,-,-,-
Gevrai APMC,-,-,2.2,-,-
Indapur APMC,-,-,0.4,-,-
Jalana APMC,0.3,10.9,3.4,-97.2%,-91.2%
Jalgaon APMC,12.9,47.4,12.5,-72.8%,3.2%
Jalgaon Jamod(Aasalgaon) APMC,0.3,-,-,-,-
Jamkhed APMC,6.6,7.5,2.2,-12.0%,200.0%
"Jaykissan Krushi Uttpan Khajgi Bazar, Khamgaon, Dist Buldhana",-, -,2.64,-,-
Kalamb (Dharashiv) APMC,-,0.7,0.3,-,-
Kalyan APMC,7.5,6.6,6.0,13.6%,25.0%
Karanja APMC,5.5,33.0,6.0,-83.3%,-8.3%
Karjat APMC,0.5,0.8,1.3,-37.5%,-61.5%
Karmala APMC,7.4,32.8,-,-77.4%,-
Khamgaon APMC,50.8,140.6,5.8,-63.9%,775.9%
Kille Dharur APMC,0.3,-,0.2,-,50.0%
Krushi Utpanna Bazar Samiti Shegaon,0.1,0.4,0.4,-75.0%,-75.0%
"Krushna Krishi Bazar, Washim",-,0.16,-,-,-
Kurdwadi(Modnimb) APMC,3.9,9.0,-,-56.7%,-
Lasalgaon APMC,0.5,-,4.1,-,-87.8%
Lasalgaon(Niphad) APMC,1.0,1.0,1.1,-,-9.1%
Majalgaon APMC,-,1.3,-,-,-
Malegaon APMC,0.3,0.4,-,-25.0%,-
Malkapur APMC,1.9,1.6,0.5,18.8%,280.0%
Mangal Wedha APMC,-,0.5,-,-,-
Mangrulpeer APMC,2.8,6.6,1.2,-57.6%,133.3%
Manora APMC,-,-,0.5,-,-
Mumbai APMC,381.4,199.2,377.3,91.5%,1.1%
Murum APMC,2.0,8.7,8.7,-77.0%,-77.0%
"N.N.Mundhada Agriculture Market Produce, Dist Washim",-, -,0.19,-,-
Nagpur APMC,0.6,1.5,-,-60.0%,-
Nanded APMC,-,-,0.5,-,-
Nandura APMC,-,-,0.2,-,-
"Omchatinya Multi State Agro Purpose Co-Op Society, Dist Ahilyanagar",-,0.2,0.19,-,-
Paithan APMC,-,0.6,-,-,-
Pune APMC,12.2,8.5,8.8,43.5%,38.6%
Rahuri APMC,0.5,-,-,-,-
Rahuri(Vambori) APMC,-,-,0.2,-,-
SHRI.SIDDHESHWAR  APMC,-,0.4,-,-,-
Sangli APMC,-,-,5.0,-,-
Shetkari Krushi Utapanna Bazar Roshankheda Tal Varud Dist Amravati,-,-,0.14,-,-
Shevgaon(Bodhegaon) APMC,-,1.2,-,-,-
Shirpur APMC,-,0.4,-,-,-
Shirur APMC,-,0.3,0.1,-,-
Shivsiddha Govind Producer Company Ltd Sanchalit Khajgi Krushi Utpann Bajar Samati-Abhona-Kalwan,-,0.04,-,-,-
Shrigonda APMC,0.1,-,0.2,-,-50.0%
Sinner APMC,-,-,0.2,-,-
Tuljapur APMC,-,15.4,-,-,-
Tumsar APMC,0.8,0.6,7.4,33.3%,-89.2%
Washim APMC,1.5,29.9,-,-95.0%,-
Yeola APMC,-,0.3,-,-,-
Total,664.1,928.5,684.05,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100
